row_id,row_name,bits_0,disable_param_reserve2,ref_id_default,sfx_variation_id,weight,basic_price,sell_value,behavior_id,replace_item_id,sort_id,appearance_replace_item_id,yes_no_dialog_message_id,use_enable_sp_effect_type,pot_group_id,pad,icon_id,model_id,shop_lv,comp_trophy_sed_id,trophy_seq_id,max_num,consume_hero_point,over_dexterity,goods_type,ref_category,sp_effect_category,unknown_0x40,goods_use_anim,opme_menu_type,use_limit_category,replace_category,reserve4,bits_48,bits_49,bits_4a,sync_num_vary_id,ref_id_1,ref_virtual_wep_id,vagrant_item_lot_id,vagrant_bonus_ene_drop_item_lot_id,vagrant_item_ene_drop_item_lot_id,cast_sfx_id,fire_sfx_id,effect_sfx_id,bits_6c,supple_type,auto_replenish_type,bits_6f,max_repository_num,sort_group_id,bits_73,sale_value,rarity,use_limit_summon_buddy,use_limit_sp_effect_type,ai_use_judge_id,consume_mp,consume_hp,reinforce_goods_id,reinforce_material_id,reinforce_price,use_level_vow_type0,use_level_vow_type1,use_level_vow_type2,use_level_vow_type3,use_level_vow_type4,use_level_vow_type5,use_level_vow_type6,use_level_vow_type7,use_level_vow_type8,use_level_vow_type9,use_level_vow_type10,use_level_vow_type11,use_level_vow_type12,use_level_vow_type13,use_level_vow_type14,use_level_vow_type15,use_level,reserve5,item_get_tutorial_flag_id,character_init_id,bullet_id,unknown_3,reserve3,extra_hex
0,�,1,000000,-1,-1,0.0,0,0,0,-1,-1,-1,-1,0,0,00,0,0,0,-1,-1,1,0,0,0,0,0,255,0,0,0,0,0000,31,17,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,65,0,255,1,-1,0,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ff00,0,-1,-1,-1,00000000ffffffffffffffff,ffffffffffffffffffffffffffffffffffffffffffffffff0000000000000000
2,�,0,000000,-1,-1,0.0,0,-1,0,-1,40760,-1,-1,0,0,00,20292,0,-1,-1,-1,1,0,50,11,0,0,255,0,0,0,0,0000,0,0,0,0,-1,-1,2,-1,-1,-1,-1,-1,1,0,0,65,0,20,1,0,3,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ff00,0,-1,-1,-1,00000000ffffffffffffffff,ffffffffffffffffffffffffffffffffffffffffffffffff0000000000000000
11,�,0,000000,-1,-1,0.0,0,-1,0,-1,40760,-1,-1,0,0,00,20208,0,-1,-1,-1,1,0,50,11,0,0,255,0,0,0,0,0000,0,0,0,0,-1,-1,11,-1,-1,-1,-1,-1,1,0,0,65,0,20,1,0,1,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ff00,0,-1,-1,-1,00000000ffffffffffffffff,ffffffffffffffffffffffffffffffffffffffffffffffff0000000000000000
12,�,0,000000,-1,-1,0.0,0,-1,0,-1,40760,-1,-1,0,0,00,20206,0,-1,-1,-1,1,0,50,11,0,0,255,0,0,0,0,0000,0,0,0,0,-1,-1,12,-1,-1,-1,-1,-1,1,0,0,65,0,20,1,0,1,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ff00,0,-1,-1,-1,00000000ffffffffffffffff,ffffffffffffffffffffffffffffffffffffffffffffffff0000000000000000
51,�,0,000000,40999,12,0.0,0,100,0,-1,999999,-1,-1,0,0,00,10040,0,-1,-1,-1,3,0,50,0,2,0,255,7,0,0,0,0000,223,16,0,0,-1,-1,-1,-1,-1,-1,-1,-1,13,0,2,65,0,20,1,0,9,0,609,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ff00,0,-1,-1,-1,00000000ffffffffffffffff,ffffffffffffffffffffffffffffffffffffffffffffffff0000000000000000
52,�,0,000000,30101,12,0.0,0,100,0,-1,1000,-1,-1,0,0,00,46,0,-1,-1,-1,3,0,50,0,2,0,255,0,0,0,0,0000,223,16,0,0,-1,-1,-1,-1,-1,-1,301033,-1,13,0,2,65,0,20,1,0,9,0,609,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ff00,0,-1,-1,-1,00000000ffffffffffffffff,ffffffffffffffffffffffffffffffffffffffffffffffff0000000000000000
60,�,1,000000,-1,-1,0.0,0,1,0,-1,999999,-1,-1,0,0,00,0,0,-1,-1,-1,99,0,50,0,2,0,255,255,0,0,0,0000,223,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,9,0,0,65,0,255,1,1,0,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ff00,0,-1,-1,-1,00000000ffffffffffffffff,ffffffffffffffffffffffffffffffffffffffffffffffff0000000000000000
61,�,1,000000,-1,-1,0.0,0,1,0,-1,999999,-1,-1,0,0,00,0,0,-1,-1,-1,99,0,50,0,2,0,255,255,0,0,0,0000,223,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,9,0,0,65,0,255,1,1,0,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ff00,0,-1,-1,-1,00000000ffffffffffffffff,ffffffffffffffffffffffffffffffffffffffffffffffff0000000000000000
62,�,1,000000,-1,-1,0.0,0,1,0,-1,999999,-1,-1,0,0,00,0,0,-1,-1,-1,99,0,50,0,2,0,255,255,0,0,0,0000,223,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,9,0,0,65,0,255,1,1,0,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ff00,0,-1,-1,-1,00000000ffffffffffffffff,ffffffffffffffffffffffffffffffffffffffffffffffff0000000000000000
63,�,1,000000,-1,-1,0.0,0,1,0,-1,999999,-1,-1,0,0,00,0,0,-1,-1,-1,99,0,50,0,2,0,255,255,0,0,0,0000,223,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,9,0,0,65,0,255,1,1,0,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ff00,0,-1,-1,-1,00000000ffffffffffffffff,ffffffffffffffffffffffffffffffffffffffffffffffff0000000000000000
