row_id,row_name,bits_0,disable_param_reserve2,unknown_1,unknown_2,proper_portrait_id,simple_portrait_id,character_unlock_flag,character_name_id,character_skill_title_id,character_skill_summary_id,character_skill_icon_id,ultimate_art_title_id,ultimate_art_summary_id,ultimate_art_icon_id,background_description_id,mid_padding,unknown_24,unknown_25,unknown_26,hero_status_param_id,unknown_27,character_ability_cooldown,character_ability_usage_count,passive_ability_title_id,passive_ability_summary_id,passive_ability_icon_id,small_hud_icon_id,character_skill_description_id,ultimate_art_description_id,passive_ability_description_id,unknown_38,unknown_39,extra_hex
1,�,1,000000,1,1,41000,41600,0,288050,411010,412000,41150,413010,414000,41200,138500,00000000000000000000000000000000000000000000000000000000000000000000000000000000,63500,63510,63520,10000,1148845916,8.0,1,415010,416000,41850,41130,412100,414100,416100,1100,415000,78450600484d06000000000000000000
2,�,1,000000,1,2,41010,41610,0,288051,411011,412001,41151,413011,414001,41201,138510,00000000000000000000000000000000000000000000000000000000000000000000000000000000,63500,63510,63520,20000,1148845916,13.5,1,415011,416001,41851,41131,412101,414101,416101,1200,415001,79450600494d06000000000000000000
3,�,0,000000,1,3,41020,41620,0,288052,411012,412002,41152,413012,414002,41202,138520,00000000000000000000000000000000000000000000000000000000000000000000000000000000,63500,63510,63520,30000,1148845916,10.0,1,415012,416002,41852,41132,412102,414102,416102,1300,415002,7a4506004a4d06000000000000000000
4,�,1,000000,1,4,41030,41630,6031,288053,411013,412003,41153,413013,414003,41203,138530,00000000000000000000000000000000000000000000000000000000000000000000000000000000,63500,63510,63520,40000,1148845916,12.0,1,415013,416003,41853,41133,412103,414103,416103,1400,415003,7b4506004b4d06000000000000000000
5,�,0,000000,1,5,41040,41640,0,288054,411014,412004,41154,413014,414004,41204,138540,00000000000000000000000000000000000000000000000000000000000000000000000000000000,63500,63510,63520,50000,1148845916,12.0,1,415014,416004,41854,41134,412104,414104,416104,1500,415004,7c4506004c4d06000000000000000000
6,�,0,000000,1,6,41050,41650,6037,288055,411015,412005,41155,413015,414005,41205,138550,00000000000000000000000000000000000000000000000000000000000000000000000000000000,63500,63510,63520,60000,1148845916,0.0,1,415015,416005,41855,41135,412105,414105,416105,1600,415005,7d4506004d4d06000000000000000000
7,�,1,000000,1,7,41060,41660,0,288056,411016,412006,41156,413016,414006,41206,138560,00000000000000000000000000000000000000000000000000000000000000000000000000000000,63500,63510,63520,70000,1148845916,0.0,1,415016,416006,41856,41136,412106,414106,416106,1700,415006,7e4506004e4d06000000000000000000
8,�,0,000000,1,8,41070,41670,0,288057,411017,412007,41157,413017,414007,41207,138570,00000000000000000000000000000000000000000000000000000000000000000000000000000000,63500,63510,63520,80000,1148845916,0.0,1,415017,416007,41857,41137,412107,414107,416107,1800,415007,7f4506004f4d06000000000000000000
9,�,1,000000,1,9,41080,41680,6038,288058,411018,412008,41158,413018,414008,41208,138580,00000000000000000000000000000000000000000000000000000000000000000000000000000000,63500,63510,63520,90000,1148845916,12.0,1,415018,416008,41858,41138,412108,414108,416018,1900,415008,80450600504d06000000000000000000
10,�,1,000000,1,10,41090,41690,6039,288059,411019,412009,41159,413019,414009,41209,138590,00000000000000000000000000000000000000000000000000000000000000000000000000000000,63500,63510,63520,100000,1148845916,14.0,1,415019,416009,41859,41139,412109,414109,416019,2000,415009,81450600514d06000000000000000000
