row_id,row_name,unknown_0,expedition_name_id,boss_icon_id,unlock_event_flag,defeat_event_flag,unknown_5,boss_name_id,defeated_boss_icon_id,sort_id,description_id,expedition_background_id,unknown_11,unknown_12,unknown_13,unknown_14,large_boss_icon_id,extra_hex
0,�,1,131050,41800,0,150,100100,131060,40471,10,131070,40460,4,65536000,42599200,32768500,41820,00000000
1,�,0,131051,41801,110,151,100200,131061,40472,20,131071,40461,5,65536000,42599200,32768500,41821,00000000
2,�,0,131052,41802,110,152,100300,131062,40473,30,131072,40462,2,65536000,42599200,32768500,41822,00000000
3,�,0,131053,41803,110,153,100400,131063,40474,40,131073,40463,3,32768000,21299600,16384250,41823,00000000
4,�,0,131054,41804,110,154,100500,131064,40475,50,131074,40464,11,65536000,42599200,32768500,41824,00000000
5,�,0,131055,41805,110,155,100600,131065,40476,60,131075,40465,3,65536000,42599200,32768500,41825,00000000
6,�,0,131056,41806,110,156,100700,131066,40477,70,131076,40466,2,65536000,42599200,32768500,41826,00000000
7,�,0,131057,41807,115,160,100800,131067,40478,100,131077,40467,4,45875200,45875900,45875900,41827,00000000
8,�,0,131058,41810,135,161,-1,131068,40485,80,131078,40468,10,104857600,68158720,52429600,41828,00000000
9,�,0,131059,41811,136,162,-1,131069,40486,90,131079,40469,0,73400320,73401440,73401440,41829,00000000
10,�,0,131050,41830,150,170,-1,131060,41900,210,131070,40460,4,0,22937800,32768500,41840,00000000
11,�,0,131051,41831,151,171,-1,131061,41901,220,131071,40461,5,0,22937800,32768500,41841,00000000
12,�,0,131052,41832,152,172,-1,131062,41902,230,131072,40462,2,0,22937800,32768500,41842,00000000
13,�,0,131053,41833,153,173,-1,131063,41903,240,131073,40463,3,0,11468900,16384250,41843,00000000
14,�,0,131054,41834,154,174,-1,131064,41904,250,131074,40464,11,0,22937800,32768500,41844,00000000
15,�,0,131055,41835,155,175,-1,131065,41905,260,131075,40465,3,0,22937800,32768500,41845,00000000
16,�,0,131056,41836,156,176,-1,131066,41906,270,131076,40466,2,0,22937800,32768500,41846,00000000
18,�,0,131058,41838,161,181,-1,131068,41908,280,131078,40468,10,0,36700480,52429600,41848,00000000
100,�,0,131150,41812,130,0,-1,-1,-1,300,131151,40427,0,0,0,0,-1,00000000
