param,type,rows,row_size,status
AcrossDayCorrectParam,ACROSS_DAY_CORRECT_PARAM_ST,10,128,ok
ActionButtonParam,ACTIONBUTTON_PARAM_ST,220,112,ok
AiSoundParam,AI_SOUND_PARAM_ST,235,32,ok
AntiqueStandParam,ANTIQUE_STAND_PARAM_ST,74,24,prefix layout=20 row=24
AssetEnvironmentGeometryParam,ASSET_GEOMETORY_PARAM_ST,21538,320,ok
AssetMaterialSfxParam,ASSET_MATERIAL_SFX_PARAM_ST,45,128,ok
AssetModelSfxParam,ASSET_MODEL_SFX_PARAM_ST,1148,128,ok
AtkParam_Npc,ATK_PARAM_ST,11783,464,ok
AtkParam_Pc,ATK_PARAM_ST,8988,464,ok
AttachEffectFilterCategoryParam,ATTACHEFFECT_FILTER_CATEGORY_PARAM_ST,5,8,ok
AttachEffectFilterParam,ATTACHEFFECT_FILTER_PARAM_ST,426,20,ok
AttachEffectFilterSubCategoryParam,ATTACHEFFECT_FILTER_SUB_CATEGORY_PARAM_ST,61,32,no-layout
AttachEffectParam,ATTACHEFFECT_PARAM_ST,2079,68,ok
AttachEffectTableParam,ATTACHEFFECT_TABLE_PARAM_ST,22088,12,ok
AttackElementCorrectParam,ATTACK_ELEMENT_CORRECT_PARAM_ST,152,128,ok
AutoCreateEnvSoundParam,AUTO_CREATE_ENV_SOUND_PARAM_ST,6,32,ok
BehaviorParam,BEHAVIOR_PARAM_ST,13103,32,ok
BehaviorParam_PC,BEHAVIOR_PARAM_ST,10855,32,ok
BonfireWarpParam,BONFIRE_WARP_PARAM_ST,3,236,ok
BuddyParam,BUDDY_PARAM_ST,4,112,ok
BuddyStoneParam,BUDDY_STONE_PARAM_ST,243,64,ok
BudgetParam,BUDGET_PARAM_ST,5,132,ok
Bullet,BULLET_PARAM_ST,12254,348,prefix layout=332 row=348
BulletCreateLimitParam,BULLET_CREATE_LIMIT_PARAM_ST,72,32,ok
CalcCorrectGraph,CACL_CORRECT_GRAPH_ST,82,80,ok
Ceremony,CEREMONY_PARAM_ST,26,36,ok
ChaosMatchingCorrectParam,CHAOS_MATCHING_CORRECT_PARAM_ST,90,20,no-layout
ChaosMatchingMutationCategoryParam,CHAOS_MATCHING_MUTATION_CATEGORY_PARAM_ST,46,20,no-layout
ChaosMatchingMutationEnemyTableParam,CHAOS_MATCHING_MUTATION_ENEMY_TABLE_PARAM_ST,3067,48,no-layout
